Image1,Image2,class,face_present
Elizabeth_Dole_0001.jpg,Elizabeth_Dole_0003.jpg,similar,Yes
Shia_LaBeouf_0001.jpg,Tatyana_Tomashova_0001.jpg,different,Yes
Earl_Campbell_0001.jpg,Marco_Antonio_Barrera_0003.jpg,different,Yes
Diana_Munz_0003.jpg,Geno_Auriemma_0001.jpg,different,Yes
Freda_Black_0001.jpg,Patricia_Clarkson_0003.jpg,different,No
Roberto_Cercelletta_0001.jpg,Scott_Hamilton_0001.jpg,different,Yes
Igor_Trunov_0001.jpg,Vladimir_Voltchkov_0002.jpg,different,Yes
Lene_Espersen_0001.jpg,San_Lan_0001.jpg,different,Yes
Magdalena_Maleeva_0001.jpg,Magdalena_Maleeva_0002.jpg,similar,Yes
Jack_Valenti_0001.jpg,Jaouad_Gharib_0001.jpg,different,No
Prince_William_0001.jpg,Prince_William_0002.jpg,similar,Yes
Jeff_Van_Gundy_0003.jpg,Kaspar_Villiger_0001.jpg,different,Yes
Liu_Mingkang_0001.jpg,Liu_Mingkang_0002.jpg,similar,Yes
Gilberto_Simoni_0001.jpg,Raquel_Welch_0002.jpg,different,Yes
Mikhail_Wehbe_0001.jpg,Mikhail_Wehbe_0004.jpg,similar,Yes
Silvia_Farina_Elia_0001.jpg,Silvia_Farina_Elia_0003.jpg,similar,Yes
Sachiko_Yamada_0002.jpg,Sachiko_Yamada_0003.jpg,similar,Yes
Bulent_Ecevit_0001.jpg,Lee_Yuan-tseh_0001.jpg,different,Yes
Kirk_Johnson_0001.jpg,Michelle_Hofland_0001.jpg,different,No
Bison_Dele_0001.jpg,John_Stockton_0004.jpg,different,Yes
Dennis_Kucinich_0006.jpg,Dennis_Kucinich_0007.jpg,similar,Yes
Alec_Baldwin_0001.jpg,Alec_Baldwin_0002.jpg,similar,Yes
Mike_Martz_0003.jpg,Mike_Martz_0005.jpg,similar,Yes
Julia_Tymoshenko_0001.jpg,Julia_Tymoshenko_0003.jpg,similar,Yes
Mae_Jemison_0001.jpg,Max_Biaggi_0001.jpg,different,Yes
Eric_Lloyd_0001.jpg,Mark_Gottfried_0003.jpg,different,Yes
David_Wells_0002.jpg,David_Wells_0005.jpg,similar,Yes
Pascal_Lamy_0001.jpg,Pascal_Lamy_0002.jpg,similar,Yes
William_Ford_Jr_0001.jpg,William_Ford_Jr_0003.jpg,similar,Yes
BJ_Habibie_0001.jpg,Daniel_Chin_0001.jpg,different,Yes
Greg_Rusedski_0004.jpg,Yoko_Ono_0004.jpg,different,Yes
Andre_Agassi_0009.jpg,Andre_Agassi_0018.jpg,similar,No
Donald_Fehr_0003.jpg,Donald_Fehr_0004.jpg,similar,Yes
Chuck_Yeager_0002.jpg,Jacqueline_Obradors_0001.jpg,different,Yes
Colin_Phillips_0001.jpg,Lenny_Kravitz_0001.jpg,different,Yes
Artieas_Shanks_0001.jpg,Hrithik_Roshan_0001.jpg,different,Yes
Gilles_Panizzi_0001.jpg,Martha_Lucia_Ramirez_0004.jpg,different,Yes
Grant_Hackett_0002.jpg,Grant_Hackett_0003.jpg,similar,Yes
John_Wright_0001.jpg,Rafeeuddin_Ahmed_0001.jpg,different,Yes
David_Gest_0001.jpg,Hikmat_al-Azzawi_0001.jpg,different,Yes
Jason_Kidd_0001.jpg,Jason_Kidd_0010.jpg,similar,No
Mark_Hurlbert_0004.jpg,Todd_MacCulloch_0001.jpg,different,Yes
Charles_Lebois_0001.jpg,Yingfan_Wang_0001.jpg,different,No
Mohammed_Al-Douri_0002.jpg,Mohammed_Al-Douri_0005.jpg,similar,Yes
Gary_Coleman_0001.jpg,Michael_Powell_0005.jpg,different,Yes
Carlos_Menem_0006.jpg,Carlos_Menem_0012.jpg,similar,Yes
Ed_Smart_0003.jpg,Zaini_Abdullah_0001.jpg,different,Yes
DAngelo_Jimenez_0001.jpg,Wendy_Kennedy_0001.jpg,different,Yes
Ciro_Gomes_0002.jpg,Ciro_Gomes_0004.jpg,similar,Yes
Katherine_Harris_0002.jpg,Katherine_Harris_0003.jpg,similar,No
Emmit_Smith_0001.jpg,Francisco_Santos_0001.jpg,different,Yes
David_Dewhurst_0001.jpg,Leah_Remini_0001.jpg,different,Yes
Thomas_Rupprath_0003.jpg,Wendy_Kennedy_0001.jpg,different,Yes
Jose_Canseco_0001.jpg,Jose_Canseco_0002.jpg,similar,Yes
Azmi_Bishara_0001.jpg,Ludivine_Sagnier_0003.jpg,different,Yes
Jean-Francois_Pontal_0001.jpg,Jean-Francois_Pontal_0003.jpg,similar,No
Charles_Bell_0001.jpg,James_Carville_0001.jpg,different,Yes
Gwen_Stefani_0001.jpg,Marcus_Garrettson_0001.jpg,different,Yes
George_Lopez_0001.jpg,George_Lopez_0004.jpg,similar,Yes
Kristin_Scott_0001.jpg,Milt_Palacio_0001.jpg,different,No
Carlos_Salinas_0001.jpg,Shaun_Rusling_0001.jpg,different,No
Jason_Kidd_0001.jpg,Jason_Kidd_0004.jpg,similar,Yes
Mikhail_Kasyanov_0001.jpg,Mikhail_Kasyanov_0002.jpg,similar,Yes
Masahiko_Nagasawa_0001.jpg,Masahiko_Nagasawa_0002.jpg,similar,Yes
Peter_Arnett_0002.jpg,Peter_Arnett_0003.jpg,similar,Yes
Jim_Thome_0001.jpg,Roger_King_0001.jpg,different,Yes
William_Ford_Jr_0002.jpg,William_Ford_Jr_0003.jpg,similar,Yes
Patrick_Ewing_0002.jpg,Tali_Imani_0001.jpg,different,Yes
Heinrich_Wolfgang_0001.jpg,Mike_Fisher_0001.jpg,different,Yes
Bob_Beauprez_0001.jpg,Patsy_Mink_0001.jpg,different,Yes
Dale_Earnhardt_0001.jpg,Roy_Halladay_0001.jpg,different,No
Coretta_Scott_King_0002.jpg,Coretta_Scott_King_0003.jpg,similar,Yes
Atal_Bihari_Vajpayee_0017.jpg,Atal_Bihari_Vajpayee_0024.jpg,similar,Yes
Brooke_Gordon_0001.jpg,Hushiar_Zebari_0001.jpg,different,Yes
Zhu_Rongji_0005.jpg,Zhu_Rongji_0006.jpg,similar,Yes
Clint_Eastwood_0003.jpg,Clint_Eastwood_0006.jpg,similar,Yes
Corinne_Coman_0001.jpg,Corinne_Coman_0002.jpg,similar,Yes
Chuck_Yeager_0002.jpg,Robert_Ehrlich_0002.jpg,different,Yes
Milo_Maestrecampo_0001.jpg,Milo_Maestrecampo_0002.jpg,similar,Yes
Gary_Carter_0001.jpg,Gary_Carter_0002.jpg,similar,Yes
Ali_Hammoud_0001.jpg,Geoffrey_Rush_0001.jpg,different,Yes
Stephen_Friedman_0001.jpg,Stephen_Friedman_0002.jpg,similar,Yes
Richard_Virenque_0003.jpg,Richard_Virenque_0004.jpg,similar,No
Tommy_Robredo_0001.jpg,Tommy_Robredo_0002.jpg,similar,Yes
John_Manley_0002.jpg,John_Manley_0007.jpg,similar,No
Ernie_Grunfeld_0001.jpg,Steven_Kinlock_0001.jpg,different,Yes
Justin_Marshall_0001.jpg,Queen_Sofia_0001.jpg,different,Yes
Michael_Kors_0001.jpg,Nate_Hybl_0001.jpg,different,Yes
Ali_Abbas_0001.jpg,Ali_Abbas_0002.jpg,similar,Yes
John_Kerry_0005.jpg,John_Kerry_0014.jpg,similar,Yes
Gael_Garcia_Bermal_0001.jpg,Tyrone_Medley_0001.jpg,different,Yes
Ainsworth_Dyer_0001.jpg,Mary_Sue_Coleman_0001.jpg,different,Yes
Princess_Caroline_0001.jpg,Princess_Caroline_0004.jpg,similar,Yes
Munir_Akram_0001.jpg,Munir_Akram_0002.jpg,similar,Yes
Cameron_Diaz_0001.jpg,Kim_Dae-jung_0003.jpg,different,Yes
Bill_Walton_0001.jpg,Gary_Marshall_0001.jpg,different,Yes
Joel_Todd_0001.jpg,Pascal_Lamy_0001.jpg,different,Yes
Rubens_Barrichello_0005.jpg,Rubens_Barrichello_0010.jpg,similar,Yes
Lucio_Cecchinello_0001.jpg,Strom_Thurmond_0001.jpg,different,Yes
Kim_Clijsters_0006.jpg,Stephen_Ambrose_0002.jpg,different,Yes
Atal_Bihari_Vajpayee_0010.jpg,Atal_Bihari_Vajpayee_0020.jpg,similar,No
Asa_Hutchinson_0001.jpg,Asa_Hutchinson_0002.jpg,similar,Yes
Emma_Thompson_0001.jpg,Emma_Thompson_0002.jpg,similar,Yes
Eric_Rosser_0001.jpg,Eric_Rosser_0002.jpg,similar,Yes
Dolma_Tsering_0001.jpg,Dolma_Tsering_0002.jpg,similar,Yes
Roger_Federer_0004.jpg,Roger_Federer_0012.jpg,similar,Yes
Halle_Berry_0007.jpg,Halle_Berry_0015.jpg,similar,Yes
Gisele_Bundchen_0001.jpg,Gisele_Bundchen_0002.jpg,similar,Yes
Hadley_Bilger_0001.jpg,Kathleen_Glynn_0001.jpg,different,Yes
Jerry_Sloan_0001.jpg,Kimberly_Stewart_0001.jpg,different,Yes
David_Anderson_0005.jpg,Sharess_Harrell_0001.jpg,different,Yes
Pringe_Ernst_August_0001.jpg,Suzanne_Haik_Terrell_0001.jpg,different,Yes
Brian_Grazier_0001.jpg,Huang_Suey-Sheng_0001.jpg,different,Yes
William_Bulger_0002.jpg,William_Bulger_0004.jpg,similar,Yes
Kent_Rominger_0001.jpg,Kent_Rominger_0002.jpg,similar,Yes
Angela_Bassett_0002.jpg,Angela_Bassett_0006.jpg,similar,Yes
Ahmed_Lopez_0001.jpg,Ray_Morrough_0001.jpg,different,No
John_McKay_0001.jpg,Kurt_Schottenheimer_0001.jpg,different,Yes
Jiri_Novak_0009.jpg,Jiri_Novak_0011.jpg,similar,Yes
Elton_John_0001.jpg,Elton_John_0007.jpg,similar,Yes
Boris_Berezovsky_0001.jpg,David_Nalbandian_0013.jpg,different,Yes
Steve_Ballmer_0001.jpg,Steve_Ballmer_0002.jpg,similar,No
Fernando_Velardez_0001.jpg,Nicolas_Cage_0002.jpg,different,Yes
Carla_Myers_0002.jpg,John_Henry_0001.jpg,different,Yes
Bobby_Robson_0001.jpg,Bobby_Robson_0002.jpg,similar,Yes
Barry_Collier_0001.jpg,Rainer_Schuettler_0001.jpg,different,Yes
Jakob_Kellenberger_0001.jpg,Kiki_Vandeweghe_0001.jpg,different,Yes
Christina_Aguilera_0004.jpg,Fred_Huff_0001.jpg,different,No
Bill_Kong_0001.jpg,Herta_Daeubler-Gmelin_0002.jpg,different,Yes
Jeffrey_Donaldson_0001.jpg,Nora_Ephron_0001.jpg,different,No
Julio_Cesar_Franco_0001.jpg,Michael_Bolton_0001.jpg,different,Yes
Eddy_Merckx_0001.jpg,Eddy_Merckx_0002.jpg,similar,No
Gerard_Depardieu_0001.jpg,Harrison_Ford_0007.jpg,different,Yes
Juergen_Peters_0001.jpg,Juergen_Peters_0002.jpg,similar,No
Pier_Ferdinando_Casini_0001.jpg,Steve_Phillips_0001.jpg,different,Yes
Hee-Won_Han_0001.jpg,Hee-Won_Han_0003.jpg,similar,Yes
Manuel_Poggiali_0002.jpg,Wu_Peng_0001.jpg,different,Yes
Gloria_Allred_0001.jpg,Gloria_Allred_0002.jpg,similar,Yes
Mark_Schweiker_0001.jpg,Mark_Schweiker_0002.jpg,similar,Yes
Tom_Hanks_0003.jpg,Tom_Hanks_0010.jpg,similar,Yes
Carolina_Kluft_0001.jpg,Carolina_Kluft_0003.jpg,similar,No
Raoul_Ruiz_0001.jpg,Raoul_Ruiz_0004.jpg,similar,Yes
Brennon_Leighton_0001.jpg,Terry_Gilliam_0001.jpg,different,Yes
Dave_Tucker_0001.jpg,Scott_Peterson_0002.jpg,different,Yes
Gunter_Pleuger_0002.jpg,Gunter_Pleuger_0005.jpg,similar,Yes
Mel_Gibson_0001.jpg,Mel_Gibson_0002.jpg,similar,Yes
Li_Ka-shing_0001.jpg,Prince_Willem-Alexander_0003.jpg,different,Yes
Denis_Fassou-Nguesso_0001.jpg,Tim_Floyd_0002.jpg,different,Yes
Khin_Nyunt_0001.jpg,Raoul_Ruiz_0003.jpg,different,Yes
